# ── A 正向召回：每 skill 3 条真实说法（取自其 SKILL.md 场景，非触发词复述）
A-auto-1	auto	帮我把这个需求从头到尾全套做出来
A-auto-2	auto	这个功能你端到端跑一遍
A-auto-3	auto	一键把设计和文档都产出来
A-brain-1	brainstorm	我有个想法想做个会员积分体系，帮我梳理成需求
A-brain-2	brainstorm	写一份这个功能的产品需求文档
A-brain-3	brainstorm	这个功能方向还没想清楚，陪我拷问一下
A-idea-1	idea	把这份会议纪要整理成结构化需求
A-idea-2	idea	这是一段语音转文字的讨论记录，帮我结构化
A-idea-3	idea	原始语料在这里，忠实整理不要延展
A-dr-1	deepresearch	帮我深度研究一下 agent memory 的主流做法
A-dr-2	deepresearch	全面调研下这个技术方向的先例
A-dr-3	deepresearch	多agent研究一下这个领域
A-qr-1	quick-research	快速调研一下 Anthropic 的 prompt caching 定价
A-qr-2	quick-research	帮我查下官方文档确认这个参数
A-qr-3	quick-research	轻量研究一下就行，别开重型编排
A-uxr-1	ux-research	做个竞品分析看看别人怎么做的
A-uxr-2	ux-research	帮我做 UX 研究，多维度看看
A-uxr-3	ux-research	用户研究这块儿帮我看看
A-uxb-1	ux-brainstorm	给我几个界面方案对比一下
A-uxb-2	ux-brainstorm	这个页面的 UI 方案帮我发散一下
A-uxb-3	ux-brainstorm	设计方案要 2-3 个，带对抗评审
A-db-1	design-brief	把这个方向落成交互文档
A-db-2	design-brief	方案细化成规格契约
A-db-3	design-brief	出一份 design brief
A-od-1	open-design	用 Open Design 生成这个页面
A-od-2	open-design	OD 出图吧
A-od-3	open-design	用OD做一版设计
A-html-1	html-prototype	做个 HTML 原型看看
A-html-2	html-prototype	生成一个快速原型界面
A-html-3	html-prototype	本地原型跑一版
A-fig-1	figma-layer	把这个原型推到 figma
A-fig-2	figma-layer	跑一下 figma 保险层
A-fig-3	figma-layer	原型一比一还原到 Figma
A-uxa-1	ux-audit	评审这个页面有什么 UX 问题
A-uxa-2	ux-audit	这个页面挑毛病
A-uxa-3	ux-audit	做个体验评审
A-uxw-1	ux-writing	这些界面文案太生硬，帮我改
A-uxw-2	ux-writing	空态文案该写什么
A-uxw-3	ux-writing	定一套文案规范
